date,issues
2014-07-01,17
2014-07-02,16
2014-07-03,6
2014-07-04,3
2014-07-06,3
2014-07-07,8
2014-07-08,11
2014-07-09,19
2014-07-10,9
2014-07-11,1
2014-07-14,2
2014-07-15,2
2014-07-17,1
2014-07-18,5
2014-07-21,3
2014-07-23,3
2014-07-24,1
2014-07-25,3
2014-07-26,2
2014-07-27,2
2014-07-28,2
2014-07-29,1
2014-08-01,3
2014-08-03,1
2014-08-07,1
2014-08-11,2
2014-08-12,4
2014-08-13,3
2014-08-14,3
2014-08-16,2
2014-08-18,2
2014-08-19,5
2014-08-20,3
2014-08-21,25
2014-08-22,5
2014-08-23,1
2014-08-25,5
2014-08-26,13
2014-08-27,8
2014-08-28,14
2014-08-29,7
2014-08-30,3
2014-08-31,2
2014-09-01,1
2014-09-02,2
2014-09-03,5
2014-09-04,2
2014-09-05,4
2014-09-06,2
2014-09-07,1
2014-09-09,6
2014-09-10,8
2014-09-11,1
2014-09-12,1
2014-09-13,1
2014-09-14,2
2014-09-15,3
2014-09-16,1
2014-09-17,10
2014-09-18,7
2014-09-19,12
2014-09-21,2
2014-09-22,8
2014-09-23,5
2014-09-24,5
2014-09-25,3
2014-09-26,6
2014-09-27,3
2014-09-28,1
2014-09-29,8
2014-09-30,5
2014-10-01,13
2014-10-02,1
2014-10-03,5
2014-10-04,1
2014-10-05,2
2014-10-06,4
2014-10-07,16
2014-10-08,10
2014-10-09,8
2014-10-10,5
2014-10-11,1
2014-10-12,2
2014-10-13,3
2014-10-14,9
2014-10-15,7
2014-10-16,10
2014-10-17,5
2014-10-18,1
2014-10-19,3
2014-10-20,2
2014-10-21,4
2014-10-22,5
2014-10-23,7
2014-10-24,6
2014-10-25,3
2014-10-26,1
2014-10-27,4
2014-10-28,6
2014-10-29,10
2014-10-30,6
2014-10-31,7
2014-11-01,3
2014-11-02,5
2014-11-03,8
2014-11-04,11
2014-11-05,4
2014-11-06,13
2014-11-07,10
2014-11-08,11
2014-11-09,8
2014-11-10,12
2014-11-11,19
2014-11-12,14
2014-11-13,11
2014-11-14,11
2014-11-15,4
2014-11-16,5
2014-11-17,10
2014-11-18,14
2014-11-19,10
2014-11-20,15
2014-11-21,20
2014-11-22,5
2014-11-23,3
2014-11-24,14
2014-11-25,12
2014-11-26,12
2014-11-27,5
2014-11-28,9
2014-11-29,3
2014-11-30,1
2014-12-01,16
2014-12-02,17
2014-12-03,17
2014-12-04,9
2014-12-05,10
2014-12-06,8
2014-12-07,2
2014-12-08,5
2014-12-09,9
2014-12-10,14
2014-12-11,18
2014-12-12,15
2014-12-13,2
2014-12-14,2
2014-12-15,7
2014-12-16,7
2014-12-17,18
2014-12-18,17
2014-12-19,21
2014-12-20,10
2014-12-21,7
2014-12-22,9
2014-12-23,9
2014-12-24,4
2014-12-25,3
2014-12-26,4
2014-12-27,3
2014-12-28,3
2014-12-29,6
2014-12-30,8
2014-12-31,10
2015-01-01,3
2015-01-02,6
2015-01-03,5
2015-01-04,7
2015-01-05,7
2015-01-06,17
2015-01-07,4
2015-01-08,13
2015-01-09,2
2015-01-10,2
2015-01-11,9
2015-01-12,10
2015-01-13,17
2015-01-14,7
2015-01-15,9
2015-01-16,6
2015-01-17,7
2015-01-18,8
2015-01-19,8
2015-01-20,12
2015-01-21,14
2015-01-22,4
2015-01-23,12
2015-01-24,8
2015-01-25,5
2015-01-26,6
2015-01-27,23
2015-01-28,9
2015-01-29,14
2015-01-30,14
2015-01-31,7
2015-02-01,4
2015-02-02,11
2015-02-03,7
2015-02-04,11
2015-02-05,15
2015-02-06,9
2015-02-07,7
2015-02-08,5
2015-02-09,16
2015-02-10,14
2015-02-11,15
2015-02-12,17
2015-02-13,16
2015-02-14,10
2015-02-15,7
2015-02-16,16
2015-02-17,10
2015-02-18,10
2015-02-19,19
2015-02-20,14
2015-02-21,13
2015-02-22,6
2015-02-23,16
2015-02-24,20
2015-02-25,25
2015-02-26,26
2015-02-27,11
2015-02-28,15
2015-03-01,12
2015-03-02,14
2015-03-03,20
2015-03-04,16
2015-03-05,13
2015-03-06,14
2015-03-07,11
2015-03-08,8
2015-03-09,13
2015-03-10,16
2015-03-11,13
2015-03-12,16
2015-03-13,12
2015-03-14,4
2015-03-15,3
2015-03-16,18
2015-03-17,16
2015-03-18,12
2015-03-19,15
2015-03-20,15
2015-03-21,6
2015-03-22,10
2015-03-23,8
2015-03-24,10
2015-03-25,12
2015-03-26,10
2015-03-27,18
2015-03-28,4
2015-03-29,13
2015-03-30,13
2015-03-31,17
2015-04-01,19
2015-04-02,18
2015-04-03,12
2015-04-04,7
2015-04-05,4
2015-04-06,18
2015-04-07,15
2015-04-08,19
2015-04-09,19
2015-04-10,20
2015-04-11,14
2015-04-12,7
2015-04-13,22
2015-04-14,21
2015-04-15,25
2015-04-16,24
2015-04-17,30
2015-04-18,1
2015-04-19,12
2015-04-20,22
2015-04-21,33
2015-04-22,36
2015-04-23,32
2015-04-24,19
2015-04-25,7
2015-04-26,6
2015-04-27,20
2015-04-28,17
2015-04-29,14
2015-04-30,29
2015-05-01,14
2015-05-02,12
2015-05-03,8
2015-05-04,28
2015-05-05,30
2015-05-06,21
2015-05-07,13
2015-05-08,12
2015-05-09,3
2015-05-10,8
2015-05-11,13
2015-05-12,22
2015-05-13,8
2015-05-14,15
2015-05-15,17
2015-05-16,2
2015-05-17,6
2015-05-18,15
2015-05-19,20
2015-05-20,15
2015-05-21,21
2015-05-22,5
2015-05-23,6
2015-05-24,6
2015-05-25,4
2015-05-26,22
2015-05-27,15
2015-05-28,8
2015-05-29,21
2015-05-30,9
2015-05-31,7
2015-06-01,16
2015-06-02,18
2015-06-03,22
2015-06-04,19
2015-06-05,13
2015-06-06,10
2015-06-07,7
2015-06-08,16
2015-06-09,17
2015-06-10,22
2015-06-11,22
2015-06-12,13
2015-06-13,4
2015-06-14,6
2015-06-15,15
2015-06-16,26
2015-06-17,34
2015-06-18,18
2015-06-19,17
2015-06-20,4
2015-06-21,8
2015-06-22,20
2015-06-23,25
2015-06-24,18
2015-06-25,19
2015-06-26,21
2015-06-27,5
2015-06-28,5
2015-06-29,9
2015-06-30,20
2015-07-01,19
2015-07-02,20
2015-07-03,13
2015-07-04,5
2015-07-05,9
2015-07-06,22
2015-07-07,19
2015-07-08,15
2015-07-09,19
2015-07-10,14
2015-07-11,8
2015-07-12,5
2015-07-13,22
2015-07-14,18
2015-07-15,21
2015-07-16,21
2015-07-17,18
2015-07-18,19
2015-07-19,4
2015-07-20,14
2015-07-21,21
2015-07-22,16
2015-07-23,8
2015-07-24,19
2015-07-25,5
2015-07-26,4
2015-07-27,15
2015-07-28,19
2015-07-29,13
2015-07-30,11
2015-07-31,15
2015-08-01,6
2015-08-02,8
2015-08-03,19
2015-08-04,12
2015-08-05,20
2015-08-06,13
2015-08-07,7
2015-08-08,8
2015-08-09,4
2015-08-10,17
2015-08-11,25
2015-08-12,23
2015-08-13,9
2015-08-14,25
2015-08-15,14
2015-08-16,8
2015-08-17,11
2015-08-18,17
2015-08-19,25
2015-08-20,24
2015-08-21,9
2015-08-22,10
2015-08-23,8
2015-08-24,11
2015-08-25,18
2015-08-26,16
2015-08-27,17
2015-08-28,6
2015-08-29,8
2015-08-30,5
2015-08-31,17
2015-09-01,27
2015-09-02,24
2015-09-03,17
2015-09-04,13
2015-09-05,4
2015-09-06,2
2015-09-07,4
2015-09-08,13
2015-09-09,29
2015-09-10,27
2015-09-11,47
2015-09-12,5
2015-09-13,6
2015-09-14,19
2015-09-15,24
2015-09-16,22
2015-09-17,21
2015-09-18,21
2015-09-19,8
2015-09-20,10
2015-09-21,22
2015-09-22,28
2015-09-23,20
2015-09-24,21
2015-09-25,17
2015-09-26,9
2015-09-27,11
2015-09-28,19
2015-09-29,45
2015-09-30,22
2015-10-01,22
2015-10-02,15
2015-10-03,9
2015-10-04,8
2015-10-05,23
2015-10-06,13
2015-10-07,15
2015-10-08,18
2015-10-09,16
2015-10-10,3
2015-10-11,6
2015-10-12,24
2015-10-13,18
2015-10-14,32
2015-10-15,26
2015-10-16,21
2015-10-17,10
2015-10-18,11
2015-10-19,19
2015-10-20,19
2015-10-21,22
2015-10-22,20
2015-10-23,19
2015-10-24,7
2015-10-25,4
2015-10-26,20
2015-10-27,22
2015-10-28,25
2015-10-29,21
2015-10-30,29
2015-10-31,7
2015-11-01,4
2015-11-02,26
2015-11-03,23
2015-11-04,34
2015-11-05,20
2015-11-06,16
2015-11-07,12
2015-11-08,9
2015-11-09,16
2015-11-10,22
2015-11-11,24
2015-11-12,26
2015-11-13,13
2015-11-14,13
2015-11-15,10
2015-11-16,31
2015-11-17,22
2015-11-18,21
2015-11-19,23
2015-11-20,16
2015-11-21,9
2015-11-22,9
2015-11-23,15
2015-11-24,18
2015-11-25,11
2015-11-26,28
2015-11-27,13
2015-11-28,11
2015-11-29,7
2015-11-30,20
2015-12-01,18
2015-12-02,27
2015-12-03,24
2015-12-04,24
2015-12-05,11
2015-12-06,6
2015-12-07,29
2015-12-08,42
2015-12-09,28
2015-12-10,27
2015-12-11,24
2015-12-12,17
2015-12-13,4
2015-12-14,21
2015-12-15,28
2015-12-16,27
2015-12-17,26
2015-12-18,13
2015-12-19,6
2015-12-20,7
2015-12-21,27
2015-12-22,12
2015-12-23,6
2015-12-24,4
2015-12-25,2
2015-12-26,5
2015-12-27,8
2015-12-28,14
2015-12-29,10
2015-12-30,10
2015-12-31,7
2016-01-01,1
2016-01-02,5
2016-01-03,4
2016-01-04,15
2016-01-05,13
2016-01-06,17
2016-01-07,21
2016-01-08,12
2016-01-09,8
2016-01-10,2
2016-01-11,10
2016-01-12,36
2016-01-13,16
2016-01-14,16
2016-01-15,18
2016-01-16,10
2016-01-17,11
2016-01-18,12
2016-01-19,29
2016-01-20,20
2016-01-21,20
2016-01-22,8
2016-01-23,10
2016-01-24,6
2016-01-25,9
2016-01-26,11
2016-01-27,34
2016-01-28,20
2016-01-29,14
2016-01-30,11
2016-01-31,13
2016-02-01,20
2016-02-02,28
2016-02-03,19
2016-02-04,16
2016-02-05,18
2016-02-06,10
2016-02-07,3
2016-02-08,16
2016-02-09,20
2016-02-10,22
2016-02-11,12
2016-02-12,17
2016-02-13,3
2016-02-14,4
2016-02-15,9
2016-02-16,18
2016-02-17,16
2016-02-18,10
2016-02-19,10
2016-02-20,6
2016-02-21,3
2016-02-22,12
2016-02-23,18
2016-02-24,20
2016-02-25,17
2016-02-26,18
2016-02-27,7
2016-02-28,3
2016-02-29,26
2016-03-01,17
2016-03-02,19
2016-03-03,18
2016-03-04,12
2016-03-05,8
2016-03-06,11
2016-03-07,19
2016-03-08,21
2016-03-09,21
2016-03-10,25
2016-03-11,22
2016-03-12,5
2016-03-13,7
2016-03-14,11
2016-03-15,20
2016-03-16,20
2016-03-17,22
2016-03-18,14
2016-03-19,5
2016-03-20,8
2016-03-21,35
2016-03-22,21
2016-03-23,10
2016-03-24,18
2016-03-25,16
2016-03-26,9
2016-03-27,12
2016-03-28,8
2016-03-29,9
2016-03-30,18
2016-03-31,17
2016-04-01,26
2016-04-02,4
2016-04-03,7
2016-04-04,15
2016-04-05,25
2016-04-06,16
2016-04-07,22
2016-04-08,18
2016-04-09,6
2016-04-10,5
2016-04-11,22
2016-04-12,23
2016-04-13,13
