date,issues
2010-09-30,10
2010-10-05,1
2010-10-20,1
2010-10-22,3
2010-10-25,2
2010-10-26,1
2010-10-30,1
2010-11-05,4
2010-11-06,1
2010-11-07,2
2010-11-08,3
2010-11-23,1
2010-12-06,1
2010-12-15,1
2010-12-16,4
2011-01-11,1
2011-01-12,2
2011-01-19,1
2011-01-27,1
2011-01-28,1
2011-02-06,1
2011-02-07,3
2011-02-08,2
2011-02-11,1
2011-02-14,1
2011-02-15,1
2011-02-16,2
2011-02-17,1
2011-02-18,2
2011-02-23,1
2011-02-24,1
2011-02-25,1
2011-02-27,3
2011-03-02,2
2011-03-06,1
2011-03-08,1
2011-03-10,1
2011-03-12,3
2011-03-14,3
2011-03-15,2
2011-03-17,2
2011-03-18,1
2011-03-19,1
2011-03-21,2
2011-03-22,1
2011-03-23,1
2011-03-24,1
2011-03-25,4
2011-03-26,3
2011-03-30,4
2011-03-31,3
2011-04-03,1
2011-04-06,2
2011-04-08,1
2011-04-09,4
2011-04-10,3
2011-04-11,3
2011-04-12,1
2011-04-13,3
2011-04-14,2
2011-04-18,3
2011-04-20,1
2011-04-24,1
2011-04-25,1
2011-04-27,2
2011-04-29,3
2011-04-30,1
2011-05-01,2
2011-05-02,1
2011-05-03,4
2011-05-04,1
2011-05-05,3
2011-05-07,1
2011-05-09,1
2011-05-10,1
2011-05-11,1
2011-05-13,1
2011-05-14,1
2011-05-19,3
2011-05-21,3
2011-05-23,2
2011-05-27,5
2011-05-30,4
2011-05-31,2
2011-06-02,2
2011-06-04,5
2011-06-05,1
2011-06-06,3
2011-06-07,2
2011-06-08,1
2011-06-11,4
2011-06-12,6
2011-06-13,4
2011-06-14,1
2011-06-15,5
2011-06-17,3
2011-06-19,1
2011-06-20,1
2011-06-21,1
2011-06-24,1
2011-06-26,1
2011-06-27,1
2011-06-30,1
2011-07-01,1
2011-07-04,1
2011-07-05,1
2011-07-07,2
2011-07-08,2
2011-07-11,2
2011-07-12,3
2011-07-14,3
2011-07-16,2
2011-07-19,2
2011-07-21,1
2011-07-22,1
2011-07-26,1
2011-07-27,3
2011-07-28,1
2011-08-01,2
2011-08-03,3
2011-08-05,1
2011-08-09,1
2011-08-11,1
2011-08-12,5
2011-08-14,1
2011-08-16,2
2011-08-17,1
2011-08-19,4
2011-08-20,1
2011-08-21,1
2011-08-22,3
2011-08-23,2
2011-08-24,4
2011-08-26,2
2011-08-27,4
2011-08-28,3
2011-08-29,1
2011-08-31,2
2011-09-02,4
2011-09-03,1
2011-09-07,2
2011-09-09,1
2011-09-10,1
2011-09-11,2
2011-09-14,2
2011-09-15,4
2011-09-16,1
2011-09-17,1
2011-09-18,1
2011-09-19,3
2011-09-20,1
2011-09-21,5
2011-09-22,3
2011-09-24,1
2011-09-26,4
2011-09-28,4
2011-09-29,2
