date,issues
2013-05-30,1
2013-06-03,1
2013-06-11,1
2013-06-15,2
2013-06-16,2
2013-06-21,1
2013-06-23,2
2013-06-25,3
2013-06-26,3
2013-06-27,2
2013-07-09,1
2013-07-12,1
2013-07-13,1
2013-07-21,1
2013-07-31,4
2013-08-01,2
2013-08-02,2
2013-08-04,2
2013-08-08,3
2013-08-14,1
2013-08-15,1
2013-08-18,1
2013-08-19,4
2013-08-20,3
2013-08-21,1
2013-08-22,1
2013-08-25,1
2013-08-26,1
2013-08-27,2
2013-08-30,1
2013-09-02,1
2013-09-05,1
2013-09-09,1
2013-09-12,1
2013-09-20,1
2013-09-22,1
2013-10-03,1
2013-10-04,1
2013-10-10,1
2013-10-11,1
2013-10-14,1
2013-10-19,1
2013-10-23,1
2013-10-28,1
2013-11-07,1
2013-11-15,2
2013-11-21,1
2013-11-22,1
2013-12-02,1
2013-12-12,1
2013-12-21,1
2013-12-23,1
2014-01-16,1
2014-01-22,1
2014-01-31,1
2014-02-06,1
2014-03-07,2
2014-03-11,1
2014-03-19,1
2014-03-30,2
2014-04-01,1
2014-04-02,1
2014-04-03,2
2014-04-08,4
2014-04-09,4
2014-04-10,1
2014-04-11,1
2014-04-15,1
2014-04-18,1
2014-04-23,1
2014-04-30,1
2014-05-23,1
2014-05-24,1
2014-05-26,1
2014-05-28,1
2014-05-31,1
2014-06-01,1
2014-06-02,1
2014-06-04,2
2014-06-05,1
2014-06-07,1
2014-06-10,1
2014-06-11,3
2014-06-12,2
2014-07-01,1
2014-07-03,1
2014-07-11,1
2014-07-12,1
2014-07-18,1
2014-07-22,1
2014-07-23,1
2014-08-02,1
2014-08-06,1
2014-08-15,1
2014-08-30,1
2014-09-01,1
2014-09-03,1
2014-09-06,1
2014-09-18,1
2014-09-24,2
2014-09-25,1
2014-10-12,1
2014-10-13,1
2014-10-16,1
2014-10-18,2
2014-10-25,1
2014-11-04,1
2014-11-06,2
2014-11-07,3
2014-11-20,1
2014-11-21,1
2014-12-02,1
2014-12-03,1
2014-12-04,1
2014-12-10,3
2015-01-11,1
2015-01-12,1
2015-01-16,1
2015-02-05,1
2015-02-23,1
2015-02-26,3
2015-03-07,1
2015-03-12,2
2015-03-19,1
2015-03-27,1
2015-03-28,1
2015-03-29,2
2015-03-31,1
2015-04-07,2
2015-04-08,1
2015-04-09,2
2015-04-28,2
2015-04-29,9
2015-04-30,4
2015-05-06,2
2015-05-20,1
2015-05-22,2
2015-05-25,1
2015-05-27,1
2015-05-28,1
2015-05-30,1
2015-06-03,2
2015-06-05,2
2015-06-12,2
2015-06-13,2
2015-06-15,1
2015-06-17,1
2015-06-23,2
2015-07-05,2
2015-07-16,1
2015-07-20,1
2015-07-23,3
2015-07-24,1
2015-08-03,1
2015-08-04,1
2015-08-06,1
2015-08-15,1
2015-08-18,1
2015-08-23,1
2015-09-11,2
2015-09-16,1
2015-09-18,1
2015-09-22,1
2015-09-30,1
2015-10-03,1
2015-10-14,1
2015-10-17,1
2015-10-18,1
2015-10-20,1
2015-10-21,1
2015-10-26,1
2015-11-01,1
2015-11-10,1
2015-11-20,1
2015-11-24,1
2015-11-26,1
2015-11-27,1
2015-12-17,1
2015-12-18,1
2015-12-20,2
2015-12-29,1
2015-12-31,2
2016-01-01,1
2016-01-02,1
2016-01-03,1
2016-01-05,2
2016-01-08,1
2016-01-11,1
2016-01-22,4
2016-01-23,2
2016-01-24,1
2016-01-29,1
2016-02-01,1
2016-02-04,2
2016-02-11,2
2016-02-12,3
2016-02-13,1
2016-02-14,1
2016-02-16,3
2016-02-17,5
2016-02-19,3
2016-02-23,1
2016-02-24,1
2016-02-25,1
2016-02-28,1
2016-03-03,2
2016-03-04,2
2016-03-16,2
2016-03-17,2
2016-03-18,2
2016-03-21,5
2016-03-22,2
2016-03-23,1
2016-03-24,1
2016-03-27,2
2016-03-30,5
2016-04-03,2
2016-04-07,2
2016-04-08,4
2016-04-09,3
2016-04-11,2
2016-04-13,1
2016-04-14,1
2016-04-19,3
2016-04-21,3
2016-04-22,4
2016-04-25,1
2016-05-04,2
2016-05-05,1
2016-05-07,1
