date,issues
2019-06-14,2
2019-06-18,3
2019-06-19,2
2019-06-20,2
2019-06-21,8
2019-06-23,1
2019-06-24,2
2019-06-25,4
2019-06-26,5
2019-06-27,4
2019-06-28,3
2019-06-30,1
2019-07-02,3
2019-07-04,6
2019-07-05,3
2019-07-07,3
2019-07-08,4
2019-07-09,6
2019-07-10,1
2019-07-12,3
2019-07-15,2
2019-07-17,3
2019-07-18,1
2019-07-24,2
2019-07-25,1
2019-07-26,2
2019-08-03,2
2019-08-13,1
2019-08-14,2
2019-08-15,1
2019-08-29,1
2019-09-02,1
2019-09-12,1
2019-09-19,1
2019-09-20,1
2019-09-21,1
2019-10-08,1
2019-10-09,1
2019-10-12,1
2019-10-16,1
2019-10-17,2
2019-10-21,4
2019-10-25,1
2019-10-28,2
2019-10-29,2
2019-11-04,5
2019-11-05,2
2019-11-06,1
2019-11-07,4
2019-11-08,1
2019-11-13,3
2019-11-15,1
2019-11-18,1
2019-11-19,2
2019-11-21,2
2019-11-25,3
2019-11-26,1
2019-11-27,1
2019-11-28,1
2019-12-03,1
2019-12-07,2
2019-12-17,1
2020-01-01,1
2020-01-16,2
2020-01-18,2
2020-01-19,2
2020-01-21,1
2020-02-07,2
2020-02-08,2
2020-02-10,2
2020-02-13,1
2020-02-16,1
2020-02-18,1
2020-02-20,1
2020-02-21,1
2020-02-22,3
2020-02-24,1
2020-02-25,1
2020-03-06,1
2020-03-09,1
2020-03-10,2
2020-03-11,5
2020-03-13,1
2020-03-15,1
2020-03-19,2
2020-03-20,1
2020-03-23,1
2020-03-24,1
2020-03-27,2
2020-03-29,2
2020-03-31,1
2020-04-03,1
2020-04-08,1
2020-04-15,3
2020-04-17,2
2020-04-20,3
2020-04-21,2
2020-04-22,2
2020-04-23,3
2020-04-28,1
2020-04-29,1
2020-05-06,1
2020-05-07,3
2020-05-09,1
2020-05-11,1
2020-05-12,1
2020-05-15,3
2020-05-26,1
2020-05-27,1
2020-05-28,2
2020-05-29,4
2020-05-30,3
2020-06-04,1
2020-06-06,1
2020-06-12,1
2020-06-13,2
2020-06-14,1
2020-06-17,1
2020-06-18,1
2020-06-25,1
2020-06-28,1
2020-06-30,1
2020-07-01,2
2020-07-09,1
2020-07-16,1
2020-07-20,2
2020-07-23,1
2020-08-18,1
2020-08-19,1
2020-08-25,1
2020-09-02,1
2020-09-03,1
2020-09-07,2
2020-09-16,1
2020-09-28,1
2020-10-01,2
2020-10-10,1
2020-10-12,1
2020-10-13,3
2020-10-14,3
2020-10-15,2
2020-10-16,6
2020-10-19,5
2020-10-20,11
2020-10-21,5
2020-10-22,4
2020-10-23,5
2020-10-24,4
2020-10-26,9
2020-10-27,9
2020-10-28,11
2020-10-29,5
2020-10-30,4
2020-10-31,2
2020-11-02,1
2020-11-03,5
2020-11-04,2
2020-11-05,3
2020-11-06,1
2020-11-07,2
2020-11-10,2
2020-11-11,2
2020-11-12,2
2020-11-13,1
2020-11-18,1
2020-11-19,2
2020-11-20,1
2020-11-21,4
2020-11-22,1
2020-11-27,2
2020-11-28,1
2020-12-01,2
2020-12-02,1
2020-12-03,4
2020-12-06,1
2020-12-07,4
2020-12-08,2
2020-12-10,1
2020-12-15,1
2020-12-16,1
2020-12-18,3
2020-12-19,3
2020-12-21,1
2020-12-22,1
2020-12-24,1
2020-12-26,2
2020-12-28,1
2020-12-29,1
2020-12-31,1
2021-01-12,1
2021-01-14,1
2021-01-21,4
2021-01-22,2
2021-01-23,1
2021-01-26,1
2021-01-30,1
2021-02-02,1
2021-02-07,1
2021-02-09,1
2021-02-10,1
2021-02-18,1
2021-02-22,1
2021-02-23,1
2021-02-24,1
2021-02-25,2
2021-02-26,1
2021-03-04,1
2021-03-05,2
2021-03-08,10
2021-03-09,6
2021-03-10,1
2021-03-11,5
2021-03-12,4
2021-03-18,4
2021-03-19,2
2021-03-20,1
2021-03-22,3
2021-03-24,1
2021-03-25,4
