date,issues
2022-02-08,1
2022-04-13,1
2022-05-23,1
2022-07-08,1
2022-10-18,1
2022-11-29,1
2022-12-05,1
2022-12-06,1
2022-12-20,1
2023-01-02,1
2023-01-03,3
2023-01-15,2
2023-01-20,1
2023-01-23,2
2023-02-03,1
2023-02-09,1
2023-02-13,1
2023-02-14,1
2023-02-15,1
2023-02-16,1
2023-02-26,1
2023-02-27,1
2023-02-28,2
2023-03-02,2
2023-03-04,3
2023-03-06,1
2023-03-07,1
2023-03-08,1
2023-03-20,1
2023-03-21,1
2023-03-22,1
2023-03-23,2
2023-03-24,1
2023-03-26,1
2023-03-29,2
2023-03-30,1
2023-04-06,1
2023-04-11,1
2023-04-15,1
2023-04-16,1
2023-04-19,1
2023-04-23,2
2023-04-25,1
2023-05-01,1
2023-05-07,1
2023-05-22,1
2023-05-26,2
2023-05-29,1
2023-06-27,3
2023-06-28,3
2023-08-05,1
2023-08-24,1
2023-08-27,1
