date,issues
2015-11-09,49
2015-11-10,58
2015-11-11,50
2015-11-12,30
2015-11-13,25
2015-11-14,13
2015-11-15,12
2015-11-16,12
2015-11-17,15
2015-11-18,13
2015-11-19,16
2015-11-20,15
2015-11-21,5
2015-11-22,6
2015-11-23,12
2015-11-24,7
2015-11-25,8
2015-11-26,10
2015-11-27,2
2015-11-28,8
2015-11-29,2
2015-11-30,2
2015-12-01,11
2015-12-02,6
2015-12-03,9
2015-12-04,9
2015-12-05,5
2015-12-06,6
2015-12-07,12
2015-12-08,14
2015-12-09,11
2015-12-10,10
2015-12-11,13
2015-12-12,10
2015-12-13,7
2015-12-14,9
2015-12-15,9
2015-12-16,8
2015-12-17,9
2015-12-18,13
2015-12-19,12
2015-12-20,12
2015-12-21,11
2015-12-22,7
2015-12-23,18
2015-12-24,4
2015-12-25,5
2015-12-26,8
2015-12-27,5
2015-12-28,8
2015-12-29,8
2015-12-30,8
2015-12-31,5
2016-01-01,4
2016-01-02,4
2016-01-03,4
2016-01-04,10
2016-01-05,19
2016-01-06,7
2016-01-07,12
2016-01-08,9
2016-01-09,5
2016-01-10,1
2016-01-11,12
2016-01-12,7
2016-01-13,8
2016-01-14,13
2016-01-15,11
2016-01-16,4
2016-01-17,5
2016-01-18,6
2016-01-19,11
2016-01-20,11
2016-01-21,8
2016-01-22,10
2016-01-23,12
2016-01-24,14
2016-01-25,13
2016-01-26,15
2016-01-27,13
2016-01-28,10
2016-01-29,15
2016-01-30,7
2016-01-31,4
2016-02-01,6
2016-02-02,18
2016-02-03,10
2016-02-04,18
2016-02-05,7
2016-02-06,3
2016-02-07,4
2016-02-08,11
2016-02-09,13
2016-02-10,11
2016-02-11,19
2016-02-12,13
2016-02-13,5
2016-02-14,13
2016-02-15,11
2016-02-16,21
2016-02-17,24
2016-02-18,27
2016-02-19,26
2016-02-20,9
2016-02-21,13
2016-02-22,13
2016-02-23,21
2016-02-24,17
2016-02-25,11
2016-02-26,20
2016-02-27,11
2016-02-28,7
2016-02-29,6
2016-03-01,16
2016-03-02,12
2016-03-03,15
2016-03-04,10
2016-03-05,6
2016-03-06,15
2016-03-07,15
2016-03-08,14
2016-03-09,7
2016-03-10,13
2016-03-11,9
2016-03-12,10
2016-03-13,10
2016-03-14,12
2016-03-15,21
2016-03-16,8
2016-03-17,7
2016-03-18,12
2016-03-19,11
2016-03-20,3
2016-03-21,14
2016-03-22,9
2016-03-23,28
2016-03-24,20
2016-03-25,16
2016-03-26,13
2016-03-27,11
2016-03-28,8
2016-03-29,22
2016-03-30,14
2016-03-31,19
2016-04-01,10
2016-04-02,6
2016-04-03,7
2016-04-04,14
2016-04-05,12
2016-04-06,19
2016-04-07,12
2016-04-08,13
2016-04-09,6
2016-04-10,7
2016-04-11,22
2016-04-12,35
2016-04-13,32
2016-04-14,24
2016-04-15,18
2016-04-16,18
2016-04-17,12
2016-04-18,8
2016-04-19,18
2016-04-20,12
2016-04-21,18
2016-04-22,11
2016-04-23,7
2016-04-24,7
2016-04-25,20
2016-04-26,17
2016-04-27,20
2016-04-28,20
2016-04-29,9
2016-04-30,9
2016-05-01,10
2016-05-02,9
2016-05-03,13
2016-05-04,13
2016-05-05,16
2016-05-06,17
2016-05-07,9
2016-05-08,9
2016-05-09,23
2016-05-10,16
2016-05-11,16
2016-05-12,14
2016-05-13,13
2016-05-14,8
2016-05-15,10
2016-05-16,17
2016-05-17,15
2016-05-18,12
2016-05-19,15
2016-05-20,10
2016-05-21,11
2016-05-22,11
2016-05-23,15
2016-05-24,12
2016-05-25,14
2016-05-26,16
2016-05-27,19
2016-05-28,19
2016-05-29,11
2016-05-30,14
2016-05-31,11
2016-06-01,13
2016-06-02,15
2016-06-03,22
2016-06-04,12
2016-06-05,16
2016-06-06,22
2016-06-07,18
2016-06-08,26
2016-06-09,27
2016-06-10,25
2016-06-11,16
2016-06-12,9
2016-06-13,21
2016-06-14,28
2016-06-15,22
2016-06-16,24
2016-06-17,24
2016-06-18,7
2016-06-19,5
2016-06-20,9
2016-06-21,23
2016-06-22,19
2016-06-23,9
2016-06-24,23
2016-06-25,13
2016-06-26,6
2016-06-27,12
2016-06-28,26
2016-06-29,25
2016-06-30,14
2016-07-01,24
2016-07-02,5
2016-07-03,14
